Batch,Trade,Time
29,1088,4
29,1910,3
,Total Calculation Time,397

30,441,99
30,1726,59
30,1137,45
30,1288,38
30,238,30
30,472,27
30,68,21
30,1179,20
30,751,16
30,966,13
30,1021,11
30,726,6
30,660,5
30,1100,4
30,1918,3
,Total Calculation Time,397

31,611,99
31,1821,59
31,1458,45
31,1301,38
31,4,29
31,1568,28
31,90,21
31,1181,20
31,811,16
31,1030,13
31,1057,11
31,728,6
31,672,5
31,1119,4
31,1927,3
,Total Calculation Time,397

32,722,99
32,1050,58
32,591,45
32,626,38
32,506,31
32,504,27
32,117,21
32,1193,20
32,819,16
32,1073,13
32,1162,11
32,730,6
32,701,5
32,1132,4
32,1966,3
,Total Calculation Time,397

33,834,99
33,40,57
33,1373,46
33,818,38
33,729,31
33,522,27
33,217,21
33,1194,20
33,931,16
33,1075,13
33,1427,11
33,734,6
33,732,5
33,1149,4
33,23,2
33,554,2
,Total Calculation Time,398

34,1106,99
34,885,57
34,1394,46
34,849,38
34,967,31
34,559,27
34,346,21
34,1242,20
34,939,16
34,1081,13
34,1490,11
34,735,6
34,747,5
34,1163,4
34,27,2
34,573,2
,Total Calculation Time,398

35,1664,99
35,1232,57
35,1554,46
35,920,38
35,989,31
35,648,27
35,465,21
35,1279,20
35,954,16
35,1159,13
35,1619,11
35,750,6
35,778,5
35,1172,4
35,67,2
35,580,2
,Total Calculation Time,398

36,306,98
36,1947,60
36,1519,45
36,1591,38
36,16,29
36,1756,28
36,581,21
36,1293,20
36,983,16
36,1285,13
36,1697,11
36,765,6
36,791,5
36,1182,4
36,75,2
36,601,2
,Total Calculation Time,398

37,943,98
37,1998,60
37,1762,45
37,1621,38
37,28,29
37,1791,28
37,619,21
37,1327,20
37,1046,16
37,1286,13
37,1736,11
37,768,6
37,843,5
37,1226,4
37,80,2
37,613,2
,Total Calculation Time,398

38,1040,98
38,859,59
38,737,45
38,978,38
38,1023,31
38,752,27
38,640,21
38,1374,20
38,1080,16
38,1289,13
38,1746,11
38,781,6
38,870,5
38,1236,4
38,107,2
38,620,2
,Total Calculation Time,398

39,82,97
39,1364,60
39,899,45
39,1038,38
39,1156,31
39,761,27
39,680,21
39,1409,20
39,1103,16
39,1297,13
39,1780,11
39,788,6
39,884,5
