Batch,Trade,Time
120,1482,17
120,60,12
120,1951,12
120,1048,6
120,1539,5
120,150,3
120,1367,3
120,1859,2
,Total Calculation Time,398

121,518,72
121,1144,70
121,143,54
121,1358,42
121,1060,33
121,971,26
121,131,22
121,1200,19
121,14,16
121,390,13
121,1957,12
121,1065,6
121,1548,5
121,225,3
121,1370,3
121,1871,2
,Total Calculation Time,398

122,1130,72
122,1287,70
122,377,54
122,1391,42
122,1078,33
122,981,26
122,244,22
122,1252,19
122,51,16
122,408,13
122,1964,12
122,1071,6
122,1555,5
122,258,3
122,1396,3
122,1883,2
,Total Calculation Time,398

123,1336,72
123,1313,70
123,407,54
123,1557,42
123,1363,33
123,1018,26
123,312,22
123,1342,19
123,106,16
123,474,13
123,1985,12
123,1085,6
123,1561,5
123,339,3
123,1402,3
123,1885,2
,Total Calculation Time,398

124,1759,72
124,1317,70
124,462,54
124,1587,42
124,1383,33
124,1109,26
124,420,22
124,1349,19
124,113,16
124,479,13
124,102,11
124,546,6
124,1940,6
124,342,3
124,1405,3
124,1908,2
,Total Calculation Time,398

125,570,71
125,1970,71
125,796,54
125,1769,42
125,1497,33
125,1113,26
125,450,22
125,1354,19
125,163,16
125,539,13
125,171,11
125,556,6
125,1945,6
125,351,3
125,1411,3
125,1912,2
,Total Calculation Time,398

126,961,71
126,76,70
126,30,54
126,1025,43
126,1804,33
126,1139,26
126,770,22
126,1403,19
126,191,16
126,616,13
126,251,11
126,558,6
126,1960,6
126,357,3
126,1419,3
126,1931,2
,Total Calculation Time,398

127,1117,71
127,299,70
127,54,54
127,1228,43
127,1922,33
127,1171,26
127,886,22
127,1431,19
127,282,16
127,689,13
127,302,11
127,562,6
127,1969,6
127,360,3
127,1443,3
127,1956,2
,Total Calculation Time,398

